T = 0.271153
Normalization Constant = 24000.000000

     v        P(v)     Gaussian Fit
-2.910000   0.000000    0.000000
-2.908800   0.000000    0.000000
-2.907600   0.000000    0.000000
-2.906400   0.000000    0.000000
-2.905200   0.000000    0.000000
-2.904000   0.000000    0.000000
-2.902800   0.000000    0.000000
-2.901600   0.000000    0.000000
-2.900400   0.000000    0.000000
-2.899200   0.000000    0.000000
-2.898000   0.000000    0.000000
-2.896800   0.000000    0.000000
-2.895600   0.000000    0.000000
-2.894400   0.000000    0.000000
-2.893200   0.000000    0.000000
-2.892000   0.000000    0.000000
-2.890800   0.000000    0.000000
-2.889600   0.000000    0.000000
-2.888400   0.000000    0.000000
-2.887200   0.000000    0.000000
-2.886000   0.000000    0.000000
-2.884800   0.000000    0.000000
-2.883600   0.000000    0.000000
-2.882400   0.000000    0.000000
-2.881200   0.000000    0.000000
-2.880000   0.000000    0.000000
-2.878800   0.000000    0.000000
-2.877600   0.000000    0.000000
-2.876400   0.000000    0.000000
-2.875200   0.000000    0.000000
-2.874000   0.000000    0.000000
-2.872800   0.000000    0.000000
-2.871600   0.000000    0.000000
-2.870400   0.000000    0.000000
-2.869200   0.000000    0.000000
-2.868000   0.000000    0.000000
-2.866800   0.000000    0.000000
-2.865600   0.000000    0.000000
-2.864400   0.000000    0.000000
-2.863200   0.000000    0.000000
-2.862000   0.000000    0.000000
-2.860800   0.000000    0.000000
-2.859600   0.000000    0.000000
-2.858400   0.000000    0.000000
-2.857200   0.000000    0.000000
-2.856000   0.000000    0.000000
-2.854800   0.000000    0.000000
-2.853600   0.000000    0.000000
-2.852400   0.000000    0.000000
-2.851200   0.000000    0.000000
-2.850000   0.000000    0.000000
-2.848800   0.000000    0.000000
-2.847600   0.000000    0.000000
-2.846400   0.000000    0.000000
-2.845200   0.000000    0.000000
-2.844000   0.000000    0.000000
-2.842800   0.000000    0.000000
-2.841600   0.000000    0.000000
-2.840400   0.000000    0.000000
-2.839200   0.000000    0.000000
-2.838000   0.000000    0.000000
-2.836800   0.000000    0.000000
-2.835600   0.000000    0.000000
-2.834400   0.000000    0.000000
-2.833200   0.000000    0.000000
-2.832000   0.000000    0.000000
-2.830800   0.000000    0.000000
-2.829600   0.000000    0.000000
-2.828400   0.000000    0.000000
-2.827200   0.000000    0.000000
-2.826000   0.000000    0.000000
-2.824800   0.000000    0.000000
-2.823600   0.000000    0.000000
-2.822400   0.000000    0.000000
-2.821200   0.000000    0.000000
-2.820000   0.000000    0.000000
-2.818800   0.000000    0.000000
-2.817600   0.000000    0.000000
-2.816400   0.000000    0.000000
-2.815200   0.000000    0.000000
-2.814000   0.000000    0.000000
-2.812800   0.000000    0.000000
-2.811600   0.000000    0.000000
-2.810400   0.000000    0.000000
-2.809200   0.000000    0.000000
-2.808000   0.000000    0.000000
-2.806800   0.000000    0.000000
-2.805600   0.000000    0.000000
-2.804400   0.000000    0.000000
-2.803200   0.000000    0.000000
-2.802000   0.000000    0.000000
-2.800800   0.000000    0.000000
-2.799600   0.000000    0.000000
-2.798400   0.000000    0.000000
-2.797200   0.000000    0.000000
-2.796000   0.000000    0.000000
-2.794800   0.000000    0.000000
-2.793600   0.000000    0.000000
-2.792400   0.000000    0.000000
-2.791200   0.000000    0.000000
-2.790000   0.000000    0.000000
-2.788800   0.000000    0.000000
