Temperature   <m^2>     error bar
1.400000    0.982823   0.000012
1.410000    0.982058   0.000012
1.420000    0.981113   0.000013
1.430000    0.980343   0.000013
1.440000    0.979456   0.000013
1.450000    0.978446   0.000013
1.460000    0.977505   0.000014
1.470000    0.976519   0.000014
1.480000    0.975477   0.000015
1.490000    0.974285   0.000015
1.500000    0.973229   0.000016
1.510000    0.971987   0.000016
1.520000    0.970862   0.000016
1.530000    0.969693   0.000017
1.540000    0.968353   0.000018
1.550000    0.966943   0.000018
1.560000    0.965668   0.000018
1.570000    0.964254   0.000019
1.580000    0.962810   0.000019
1.590000    0.961274   0.000020
1.600000    0.959619   0.000020
1.610000    0.958104   0.000021
1.620000    0.956433   0.000021
1.630000    0.954795   0.000022
1.640000    0.952991   0.000023
1.650000    0.951257   0.000024
1.660000    0.949298   0.000024
1.670000    0.947235   0.000024
1.680000    0.945255   0.000025
1.690000    0.943243   0.000026
1.700000    0.941181   0.000026
1.710000    0.938950   0.000027
1.720000    0.936772   0.000028
1.730000    0.934276   0.000029
1.740000    0.931954   0.000030
1.750000    0.929419   0.000030
1.760000    0.926842   0.000031
1.770000    0.924159   0.000034
1.780000    0.921597   0.000033
1.790000    0.918660   0.000034
1.800000    0.915737   0.000034
1.810000    0.912679   0.000036
1.820000    0.909661   0.000038
1.830000    0.906398   0.000038
1.840000    0.902873   0.000039
1.850000    0.899908   0.000040
1.860000    0.895813   0.000043
1.870000    0.892517   0.000043
1.880000    0.888899   0.000044
1.890000    0.884674   0.000046
1.900000    0.880610   0.000048
1.910000    0.876144   0.000050
1.920000    0.871968   0.000052
1.930000    0.867511   0.000055
1.940000    0.862892   0.000057
1.950000    0.858002   0.000057
1.960000    0.853037   0.000059
1.970000    0.847782   0.000059
1.980000    0.842488   0.000063
1.990000    0.836489   0.000068
2.000000    0.830656   0.000072
2.010000    0.824421   0.000073
2.020000    0.818825   0.000074
2.030000    0.812455   0.000081
2.040000    0.805092   0.000081
2.050000    0.797088   0.000087
2.060000    0.789523   0.000088
2.070000    0.782186   0.000093
2.080000    0.774724   0.000097
2.090000    0.765914   0.000114
2.100000    0.756072   0.000114
2.110000    0.745585   0.000117
2.120000    0.734999   0.000118
2.130000    0.726148   0.000121
2.140000    0.714078   0.000139
2.150000    0.699510   0.000153
2.160000    0.687029   0.001565
2.170000    0.673877   0.001356
2.180000    0.660055   0.000863
2.190000    0.641312   0.000205
2.200000    0.624177   0.001897
2.210000    0.605150   0.001702
2.220000    0.587503   0.001881
2.230000    0.559439   0.001813
2.240000    0.535169   0.001212
2.250000    0.511230   0.001719
2.260000    0.481990   0.001326
2.270000    0.453109   0.001624
2.280000    0.422791   0.001546
2.290000    0.391167   0.001560
2.300000    0.358096   0.001381
2.310000    0.331939   0.001436
2.320000    0.307455   0.001332
2.330000    0.272619   0.001285
2.340000    0.248236   0.001259
2.350000    0.219791   0.001170
